CQ_String,Enslaved_String,Jaro-Winkler_Score,Cosine_Sim_Score
serve,serve,1.0,1.0
serve,provide,0.6761904761904761,0.5941420197486877
serve,to,0.0,0.5323319435119629
serve,establish,0.37407407407407406,0.5322703123092651
serve,place,0.4666666666666666,0.5213738083839417
serve,place,0.4666666666666666,0.5213738083839417
serve,represent,0.5333333333333333,0.5159211754798889
serve,purpose,0.5619047619047619,0.5105432868003845
serve,opportunity,0.43030303030303035,0.49967455863952637
serve,help,0.48333333333333334,0.49429118633270264
serve,individual,0.43333333333333335,0.4929337501525879
serve,choice,0.45555555555555555,0.48410046100616455
serve,responsibility,0.4936507936507937,0.4803691506385803
serve,order,0.6,0.4672859013080597
serve,service,0.9428571428571428,0.4606519937515259
serve,effort,0.5777777777777778,0.4595407545566559
serve,desire,0.7388888888888889,0.4548967182636261
serve,honor,0.0,0.4508630335330963
serve,speak,0.6,0.4489871859550476
serve,meal,0.48333333333333334,0.44676846265792847
serve,behalf,0.45555555555555555,0.44605395197868347
serve,mission,0.44761904761904764,0.444561243057251
serve,mission,0.44761904761904764,0.444561243057251
serve,food,0.0,0.43654900789260864
serve,treat,0.43333333333333335,0.43417221307754517
serve,ground,0.45555555555555555,0.43178629875183105
serve,distribute,0.5333333333333333,0.4315888583660126
serve,own,0.0,0.4294022023677826
serve,assistance,0.43333333333333335,0.4267462193965912
serve,nation,0.0,0.4235716760158539
serve,rest,0.48333333333333334,0.4229965806007385
serve,manner,0.45555555555555555,0.4228653311729431
serve,organization,0.42777777777777776,0.42284655570983887
serve,use,0.6888888888888888,0.42263805866241455
serve,community,0.0,0.422061949968338
serve,dish,0.0,0.42184242606163025
serve,dish,0.0,0.42184242606163025
serve,carry,0.4666666666666666,0.4187256395816803
serve,dinner,0.45555555555555555,0.4166165888309479
serve,teach,0.4666666666666666,0.4166107177734375
serve,involve,0.5619047619047619,0.41644906997680664
serve,justice,0.5619047619047619,0.4149446487426758
serve,receive,0.6238095238095238,0.41431304812431335
serve,ability,0.0,0.4106615483760834
serve,specialty,0.5407407407407407,0.4091772735118866
serve,specialty,0.5407407407407407,0.4091772735118866
serve,counsel,0.44761904761904764,0.4083714485168457
serve,force,0.6,0.4076235592365265
serve,manage,0.45555555555555555,0.407329797744751
serve,promise,0.5619047619047619,0.40708187222480774
serve,role,0.48333333333333334,0.40680038928985596
serve,role,0.48333333333333334,0.40680038928985596
serve,support,0.44761904761904764,0.40627971291542053
serve,support,0.44761904761904764,0.40627971291542053
serve,institution,0.43030303030303035,0.40599533915519714
serve,authority,0.43703703703703706,0.4051063656806946
serve,dessert,0.565079365079365,0.40389013290405273
serve,focus,0.0,0.4038119912147522
serve,focus,0.0,0.4038119912147522
serve,attend,0.45555555555555555,0.40328139066696167
serve,whole,0.4666666666666666,0.40302571654319763
serve,attempt,0.44761904761904764,0.4002992510795593
serve,favor,0.4666666666666666,0.3999354839324951
serve,defend,0.5777777777777778,0.3980153501033783
serve,organize,0.5499999999999999,0.3966733515262604
serve,basis,0.0,0.39623600244522095
serve,duty,0.0,0.39448729157447815
serve,duty,0.0,0.39448729157447815
serve,preside,0.565079365079365,0.39415687322616577
serve,faculty,0.0,0.39370548725128174
serve,public,0.0,0.39205944538116455
serve,drink,0.4666666666666666,0.38891372084617615
serve,set,0.6888888888888888,0.38890984654426575
serve,time,0.48333333333333334,0.38790959119796753
serve,time,0.48333333333333334,0.38790959119796753
serve,task,0.0,0.387163907289505
serve,impose,0.45555555555555555,0.3852228820323944
serve,reason,0.41111111111111115,0.3844888508319855
serve,reason,0.41111111111111115,0.3844888508319855
serve,congregation,0.35555555555555557,0.38346073031425476
serve,majority,0.44166666666666665,0.38231340050697327
serve,fact,0.0,0.38146018981933594
serve,occasion,0.0,0.38053569197654724
serve,aid,0.0,0.37930169701576233
serve,person,0.5777777777777778,0.37895986437797546
serve,position,0.44166666666666665,0.3784458041191101
serve,part,0.48333333333333334,0.3780158460140228
serve,right,0.0,0.3774101138114929
serve,influence,0.43703703703703706,0.3758689761161804
serve,experience,0.5222222222222221,0.37543606758117676
serve,idea,0.48333333333333334,0.3748684823513031
serve,change,0.45555555555555555,0.373134046792984
serve,witness,0.44761904761904764,0.37197771668434143
serve,charge,0.5777777777777778,0.37182918190956116
serve,care,0.6333333333333333,0.37173277139663696
serve,attention,0.43703703703703706,0.37162619829177856
serve,state,0.6,0.3708439767360687
serve,belong,0.45555555555555555,0.3699577748775482
serve,respect,0.7071428571428572,0.3689965009689331
