CQ_String,Enslaved_String,Jaro-Winkler_Score,Cosine_Sim_Score
incident,victim,0.625,0.5981846451759338
incident,victim,0.625,0.5981846451759338
incident,arrest,0.5277777777777778,0.5883887410163879
incident,suspect,0.4900793650793651,0.5744014978408813
incident,situation,0.5648148148148148,0.5536448955535889
incident,assault,0.4226190476190476,0.5067164301872253
incident,officer,0.6011904761904762,0.5037606358528137
incident,crime,0.5472222222222222,0.48831647634506226
incident,crime,0.5472222222222222,0.48831647634506226
incident,witness,0.6011904761904762,0.48620331287384033
incident,attack,0.4305555555555555,0.48048135638237
incident,violence,0.5833333333333334,0.48011907935142517
incident,perpetrator,0.4772727272727273,0.4742080271244049
incident,controversy,0.4545454545454546,0.4734952449798584
incident,death,0.0,0.47013968229293823
incident,fire,0.5833333333333334,0.46937984228134155
incident,scene,0.5472222222222222,0.4650067687034607
incident,case,0.5833333333333334,0.4590443968772888
incident,injury,0.5277777777777778,0.45724138617515564
incident,report,0.4305555555555555,0.4562493562698364
incident,concern,0.6071428571428571,0.4346524775028229
incident,result,0.4305555555555555,0.42212608456611633
incident,result,0.4305555555555555,0.42212608456611633
incident,fact,0.4583333333333333,0.41435006260871887
incident,emergency,0.49074074074074076,0.41425272822380066
incident,casualty,0.5,0.4134525954723358
incident,response,0.3333333333333333,0.41265958547592163
incident,warrant,0.5119047619047619,0.4072297513484955
incident,cause,0.5499999999999999,0.40641266107559204
incident,cause,0.5499999999999999,0.40641266107559204
incident,cause,0.5499999999999999,0.40641266107559204
incident,cause,0.5499999999999999,0.40641266107559204
incident,statement,0.5694444444444444,0.4062677323818207
incident,offence,0.4900793650793651,0.4060485064983368
incident,protest,0.5119047619047619,0.40153515338897705
incident,hospital,0.5,0.3978019952774048
incident,testimony,0.49074074074074076,0.39737945795059204
incident,story,0.0,0.39691364765167236
incident,consequence,0.537878787878788,0.3938245475292206
incident,defendant,0.6601851851851852,0.3936993479728699
incident,defendant,0.6601851851851852,0.3936993479728699
incident,point,0.6583333333333333,0.39339038729667664
incident,risk,0.4583333333333333,0.3891252279281616
incident,person,0.4305555555555555,0.388897180557251
incident,employee,0.4166666666666667,0.3885899484157562
incident,event,0.5472222222222222,0.38659751415252686
incident,outcome,0.5119047619047619,0.38175851106643677
incident,outcome,0.5119047619047619,0.38175851106643677
incident,impact,0.625,0.3812159299850464
incident,damage,0.4305555555555555,0.38119035959243774
incident,circumstance,0.4444444444444444,0.38062354922294617
